author,title,description,url,language,country,published_at
Paul Barker,Info-Tech session for IT execs goes ‘behind the hype’ of ChatGPT,"Now that OpenAI’s ChatGPT is in the public domain, the big discussion point being pondered revolves around what impact it will have on society as a whole, and in the enterprise. When it comes to the latter, London, Ont.-based Info-Tech Research Group describes the release as a “watershed moment in the history of generative AI,",https://www.itworldcanada.com/article/info-tech-session-for-it-execs-goes-behind-the-hype-of-chatgpt/519741,en,us,2022-12-28T19:37:34+00:00
Anthony Cuthbertson,ChatGPT: World’s most powerful AI chatbot will soon ‘look like a boring toy’ says OpenAI boss,Sam Altman says ChatGPT will get ‘a lot better... fast’,https://www.independent.co.uk/tech/chatgpt-openai-agi-ai-chat-b2252002.html,en,gb,2022-12-27T16:24:08+00:00
Dina Bass,Microsoft Hopes OpenAI’s Chatbot Will Make Bing Smarter,Microsoft Hopes OpenAI’s Chatbot Will Make Bing Smarter,https://www.bqprime.com/business/microsoft-hopes-openai-s-chatbot-will-make-bing-smarter,en,us,2023-01-04T08:20:24+00:00
Ivan Mehta,App Store and Play Store are flooded with dubious ChatGPT apps,ChatGPT is the hottest topic of discussion in the tech industry. OpenAI&#8217;s chatbot that answers questions in natural language has attracted interest from users and developers. Some developers are trying to take advantage of the trend by making dubious apps — both on the App Store and the Play Store — that aim to make [&#8230;]App Store and Play Store are flooded with dubious ChatGPT apps by Ivan Mehta originally published on TechCrunch,https://techcrunch.com/2023/01/10/app-store-and-play-store-are-flooded-with-dubious-chatgpt-apps/,en,us,2023-01-10T10:09:18+00:00
Martin Baccardax,"Stocks Slip Lower, Powell Speech, Pfizer Oak Street, Microsoft - Five Things To Know",Stock futures slip lower on hawkish Fed signals; Powell speech in focus as rate bets test tightening path; Pfizer may sell Covid treatment in China through local partner; Oak Street Health soars on $10 billion CVS takeover report and Microsoft said to eye $10 billion OpenAI investment.,https://www.thestreet.com/markets/stocks-dip-powell-pfizer-oak-street-microsoft-5-things-to-know,en,us,2023-01-10T10:17:00+00:00
Todd Bishop,Microsoft looks to tighten ties with OpenAI through potential $10B investment and new integrations,"A potential $10 billion investment by Microsoft in OpenAI would strengthen the tech giant&#8217;s partnership with the ChatGPT maker as it eyes new integrations that leverage breakthroughs from the AI powerhouse. The possible deal, currently the subject of negotiations between the companies, would value OpenAI at $29 billion, with the possibility of Microsoft receiving 75% of OpenAI&#8217;s profits until it recoups its investment, according to a report Monday by Semafor, citing unnamed sources. Microsoft, which previously invested $1 billion in OpenAI in 2019, would end up with a 49% stake in...",https://www.geekwire.com/2023/microsoft-looks-to-tighten-ties-with-openai-through-potential-10b-investment-and-new-integrations/,en,us,2023-01-10T15:22:02+00:00
Reuters,Microsoft in talks to invest $10 bln in ChatGPT-owner OpenAI – Semafor,"Microsoft Corp is in talks to invest $10 billion in ChatGPT-owner OpenAI as part of funding that will value the firm at $29 billion, Semafor reported on Monday, citing people familiar with the matter. The news underscores rising interest in the artificial intelligence company, whose chatbot has dazzled amateurs and industry experts with its ability [&#8230;]",https://financialpost.com/pmn/business-pmn/microsoft-in-talks-to-invest-10-bln-in-chatgpt-owner-openai-semafor,en,us,2023-01-10T13:53:09+00:00
Fionna Agomuoh,"Microsoft might put ChatGPT into Outlook, Word, and PowerPoint",There is word that Microsoft is in collaboration with OpenAI to use its GPT model to bring AI text generation to its Office suite.,https://www.digitaltrends.com/computing/microsoft-might-put-chatgpt-ai-into-outlook-word-powerpoint/,en,us,2023-01-09T19:18:36+00:00
Nathan Jolly,Microsoft Looking To Integrate ChatGPT Into Office Apps,"Microsoft is looking into building OpenAI&#8217;s ChatGPT technology into its Word, PowerPoint, and Outlook programs. ChatGPT is a chatbot introduced to the public in November that &#8220;interacts in a conversational way&#8221;. According to OpenAI, ChatGPT can &#8220;answer followup questions, admit its mistakes, challenge incorrect premises, and reject inappropriate requests.&#8221; Microsoft invested A$1.45 billion into OpenAI... Read More",https://www.channelnews.com.au/microsoft-looking-to-integrate-chatgpt-into-office-apps/,en,au,2023-01-09T22:27:51+00:00
Zeljka Zorz,"ChatGPT: The infosec assistant that is jack of all trades, master of none","ChatGPT from OpenAI is a conversational chatbot that was recently released in preview mode for research purposes. It takes natural language as an input and aims to solve problems, provide follow up questions or even challenge assertions depending on what you ask it. Surprisingly, as many security researchers have discovered, it makes a good infosec companion as it can do many tasks quite well, all while one is interacting with it naturally. Though there are &#8230; More &#8594;The post ChatGPT: The infosec assistant that is jack of all trades, master of none appeared first on Help Net Security...",https://www.helpnetsecurity.com/2023/01/12/chatgpt-as-an-infosec-assistant/,en,us,2023-01-12T05:30:23+00:00
,OpenAI tests the premium version of ChatGPT; here&#039;s how you can get it,The paid version of this chatbot will be called ChatGPT Professional. The company has also made a waitlist through Google forms which asks users about the range of prices at which they would like the ChatGPT service to be available.,https://www.businesstoday.in/technology/story/openai-tests-the-premium-version-of-chatgpt-heres-how-you-can-get-it-359958-2023-01-12?utm_source=rssfeed,en,in,2023-01-12T09:47:42+00:00
Matt Milano,Microsoft Looks to Invest $10 Billion in OpenAI and ChatGPT,"WebProNewsMicrosoft Looks to Invest $10 Billion in OpenAI and ChatGPTOpenAI's ChatGPT has taken the world by storm and Microsoft is not immune, with the Redmond giant set to invest $10 billion in the firm and its tech.Microsoft Looks to Invest $10 Billion in OpenAI and ChatGPTMatt Milano",https://www.webpronews.com/microsoft-looks-to-invest-10-billion-in-openai-and-chatgpt/,en,us,2023-01-11T00:44:11+00:00
Bret Kenwell,Buy or Sell Microsoft as It Eyes Stake in ChatGPT Owner OpenAI?,"There are some positives, but the short-term trend for Microsoft stock is a bit concerning. Let's look at the chart.",https://www.thestreet.com/investing/stocks/buy-or-sell-microsoft-msft-stock-as-it-eyes-stake-in-chatgpt-owner-openai,en,us,2023-01-11T17:39:44+00:00
Christine Hall,"Daily Crunch: In ‘an early experimental program,’ OpenAI opens waitlist for GPT Professional","Hello, friends, and welcome to Daily Crunch, bringing you the most important startup, tech and venture capital news in a single package.Daily Crunch: In &#8216;an early experimental program,&#8217; OpenAI opens waitlist for GPT Professional by Christine Hall originally published on TechCrunch",https://techcrunch.com/2023/01/11/daily-crunch-in-an-early-experimental-program-openai-opens-waitlist-for-gpt-professional/,en,us,2023-01-11T23:05:55+00:00
Cade Metz and Karen Weise,Microsoft Bets Big on the Creator of ChatGPT in Race to Dominate A.I.,"As a new chatbot wows the world with its conversational talents, a resurgent tech giant is poised to reap the benefits while doubling down on a relationship with the start-up OpenAI.",https://www.nytimes.com/2023/01/12/technology/microsoft-openai-chatgpt.html,en,us,2023-01-12T23:16:02+00:00
Lauren Leffer,ChatGPT Writes Well Enough to Fool Scientific Reviewers,"The internet’s new favorite toy, ChatGPT, accomplishes some things better than others. The machine learning-trained chatbot from OpenAI can string together sentences and paragraphs that flow smoothly on just about any topic you prompt it with. But it cannot reliably tell the truth. It can act as a believable substituteRead more...",https://gizmodo.com/chatgpt-writes-well-enough-to-fool-scientific-reviewers-1849970458,en,us,2023-01-10T20:40:00+00:00
Investing.com,6 big deal reports: Microsoft eyes $10B OpenAI investment,6 big deal reports: Microsoft eyes $10B OpenAI investment,https://www.investing.com/news/stock-market-news/6-big-deal-reports-microsoft-eyes-10b-openai-investment-2980909,en,us,2023-01-16T16:00:17+00:00
Taylor Soper,Seattle Public Schools bans ChatGPT; district ‘requires original thought and work from students’,"Seattle Public Schools is joining a growing number of school districts banning ChatGPT, the natural language chatbot from OpenAI that has sparked widespread attention in recent weeks. ChatGPT has garnered praise for its ability to quickly answer complex queries and instantly produce content. But it&#8217;s also generating concern among educators worried that students will use the technology to do their homework. SPS blocked ChatGPT on all school devices in December, said Tim Robinson, a spokesman for Seattle Public Schools, an in email to GeekWire. &#8220;Like all school districts, Seattle...",https://www.geekwire.com/2023/seattle-public-schools-bans-chatgpt-district-requires-original-thought-and-work-from-students/,en,us,2023-01-16T21:25:10+00:00
Jino Nicolas,Microsoft to expand ChatGPT access as OpenAI investment rumors swirl,"Microsoft Corp. on Monday said it is widening access to hugely popular software from OpenAI, a startup it is backing whose futuristic ChatGPT chatbot has captivated Silicon Valley. Microsoft said the startup&#8217;s tech, which it so far has previewed to its cloud-computing customers in a program it called the Azure OpenAI Service, was now generally available, [&#8230;]",https://www.bworldonline.com/technology/2023/01/17/498874/microsoft-to-expand-chatgpt-access-as-openai-investment-rumors-swirl/,en,us,2023-01-17T02:30:27+00:00
,Microsoft to add OpenAI's bot ChatGPT in Azure cloud services soon,"The service gives Microsoft's cloud customers access to various OpenAI tools like the GPT-3.5 language system that ChatGPT is based on, as well as the Dall-E model for generating images from text",https://www.business-standard.com/article/technology/microsoft-to-add-openai-s-bot-chatgpt-to-azure-cloud-services-soon-123011700182_1.html,en,us,2023-01-17T04:40:54+00:00
Bloomberg,Microsoft adding ChatGPT to Azure cloud service,"Microsoft said it will add OpenAI’s viral artificial intelligence bot ChatGPT to its cloud-based Azure service “soon,” building on an existing relationship between the two companies as Microsoft mulls taking a far larger stake in OpenAI.",https://mybroadband.co.za/news/cloud-hosting/476603-microsoft-adding-chatgpt-to-azure-cloud-service.html,en,za,2023-01-17T04:57:07+00:00
Mariella Moon,Microsoft will add ChatGPT to its cloud-based Azure OpenAI service 'soon',"Microsoft is giving more people — or at least more customers — access to OpenAI's technologies, including ChatGPT. The tech giant has announced that it's now making the Azure OpenAI Service generally available after giving a limited number of enterprise customers access to it when it debuted in November 2021. As Bloomberg notes, customers who have access to the service can use various OpenAI tools for their own cloud applications, including the Dall-E AI art generator and the GPT-3.5 language system. Microsoft says it's also adding access to ChatGPT, which it describes as a ""fine-tuned...",https://www.engadget.com/microsoft-add-chat-gpt-azure-openai-062845310.html?src=rss,en,us,2023-01-17T06:28:45+00:00
,"GlobalData : Microsoft's $10 billion OpenAI investment is a potential threat to Google's search engine leadership, says GlobalData","(marketscreener.com) 16 Jan, 2023 Microsoft's $10 billion OpenAI investment is a potential threat to Google's search engine leadership, says GlobalData Share Print page Posted in Thematic Intelligence Microsoft's $10 billion OpenAI investment...https://www.marketscreener.com/quote/stock/GLOBALDATA-PLC-13101755/news/GlobalData-Microsoft-s-10-billion-OpenAI-investment-is-a-potential-threat-to-Google-s-search-engi-42745478/?utm_medium=RSS&utm_content=20230117",https://www.marketscreener.com/quote/stock/GLOBALDATA-PLC-13101755/news/GlobalData-Microsoft-s-10-billion-OpenAI-investment-is-a-potential-threat-to-Google-s-search-engi-42745478/?utm_medium=RSS&utm_content=20230117,en,us,2023-01-17T08:20:04+00:00
Reuters,Davos 2023: CEOs buzz about ChatGPT-style AI at World Economic Forum,"Business titans trudging through Alpine snow can&#39;t stop talking about a chatbot from San Francisco.Generative artificial intelligence, tech that can invent virtually any content someone can think up and type into a text box, is garnering not just venture investment in Silicon Valley but interest in Davos at the World Economic Forum&#39;s annual meeting this week.Defining the category is ChatGPT, a chatbot that the startup called OpenAI released in November. The tech works by learning from vast amounts of data how to answer any prompt by a user in a human-like way, offering information like...",https://www.emirates247.com/business/technology/davos-2023-ceos-buzz-about-chatgpt-style-ai-at-world-economic-forum-2023-01-17-1.698302,en,us,2023-01-17T08:41:53+00:00
zee business,Microsoft to soon add ChatGPT to Azure OpenAI service: What is this and other details,Microsoft OpenAI Service: Microsoft CEO and Chairman Satya Nadella also shared the information on his Twitter handle. ,https://www.zeebiz.com/technology/news-microsoft-openai-service-artificial-intelligence-bot-chatgpt-azure-soon-217668,en,us,2023-01-17T11:25:53+00:00
Niall Kitson,Microsoft’s $10bn OpenAI investment could end AI competition before it starts,"Microsoft could soon invest as much as $10 billion in OpenAI, the company behind generative artificial intelligence (AI) models such as ChatGPT and Dall·E. If the deal goes through, it would represent a major step by the tech giant to consolidate its place in the AI market, as well as to improve its existing products [&hellipThe post Microsoft’s $10bn OpenAI investment could end AI competition before it starts appeared first on TechCentral.ie.",https://www.techcentral.ie/microsofts-10bn-openai-investment-could-end-ai-competition-before-it-starts/,en,ie,2023-01-13T11:58:54+00:00
Web Desk,OpenAI casts spell on Microsoft,"PARIS: OpenAI, the Microsoft-backed developer of ChatGPT, the much-hyped chatbot that can write a poem, college essay, or even a line of software code, is the hottest startup in Silicon Valley right now. Microsoft is said to be in talks to increase its initial investment from $1 billion to $10 billion in order to compete [...]The post OpenAI casts spell on Microsoft appeared first on PKKH.tv.",https://www.pakistankakhudahafiz.com/openai-casts-spell-on-microsoft/,en,us,2023-01-16T05:17:11+00:00
SmallBizTalks,"Microsoft Invests Billions in OpenAI, The Company Behind ChatGPT","On Monday, Microsoft announced a new multiyear, multibillion-dollar investment with OpenAI, the company behind the...The post Microsoft Invests Billions in OpenAI, The Company Behind ChatGPT appeared first on SmallBizTalks.",https://smallbiztalks.com/microsoft-invests-billions-in-openai-the-company-behind-chatgpt/,en,us,2023-01-23T15:08:43+00:00
Associated Press,Microsoft invests billions in ChatGPT-maker OpenAI,"Microsoft says it is making a &#8220;multiyear, multibillion dollar investment&#8221; in the artificial intelligence startup OpenAI, maker of ChatGPT and other tools that can write readable text and generate new images.",https://www.bostonherald.com/2023/01/23/microsoft-invests-billions-in-chatgpt-maker-openai/,en,us,2023-01-23T21:14:35+00:00
AFP,ChatGPT bot passes US law school exam,"PARIS: A chatbot powered by reams of data from the internet has passed exams at a US law school after writing essays on topics ranging from constitutional law to taxation and torts. ChatGPT from OpenAI, a US company that this week got a massive injection of cash from Microsoft, uses artificial intelligence (AI) to generate [&#8230;]",https://www.pakistantoday.com.pk/2023/01/25/chatgpt-bot-passes-us-law-school-exam/,en,pk,2023-01-25T13:07:39+00:00
,"Microsoft to invest billions in AI startup behind ChaptGPT for writing, image creation","Microsoft says it is making a ""multiyear, multibillion dollar investment"" in the artificial intelligence startup OpenAI, maker of ChatGPT and other tools that can write readable text and generate new images.",https://wraltechwire.com/?p=211685,en,us,2023-01-23T15:53:07+00:00
Bloomberg,Microsoft invests $10 billion in ChatGPT maker OpenAI,"ChatGPT has lit up the internet since its introduction in November, amassing more than a million users within days and touching off a fresh debate over the role of AI in the workplace.",https://www.dailybreeze.com/2023/01/23/microsoft-invests-10-billion-in-chatgpt-maker-openai/,en,us,2023-01-23T18:00:20+00:00
,ChatGPT Pro is coming: Here's what we know so far,Earlier this month OpenAI dropped a waitlist for the pro service. Now it seems that some people have access.,https://www.zdnet.com/article/chatgpt-pro-is-coming-heres-what-we-know-so-far/#ftag=RSSbaffb68,en,us,2023-01-24T16:46:31+00:00
,Microsoft announces multibillion-dollar investment in ChatGPT-maker OpenAI,"Microsoft announced a new multiyear, multibillion-dollar investment with the artificial intelligence lab OpenAI, according to a release Monday.",https://www.cnbc.com/2023/01/23/microsoft-announces-multibillion-dollar-investment-in-chatgpt-maker-openai.html,en,us,2023-01-23T15:00:58+00:00
"Dina Bass, Bloomberg",It's official: Microsoft is investing $10 billion in ChatGPT company OpenAI as the bot takes the internet by storm,The chatbot has lit up the internet for months and could be a major turning point for AI.,https://fortune.com/2023/01/23/microsoft-investing-10-billion-open-ai-chatgpt/,en,us,2023-01-23T16:08:36+00:00
Matt Milano,Microsoft Officially Extends Its Partnership With OpenAI,"WebProNewsMicrosoft Officially Extends Its Partnership With OpenAIMicrosoft has announced ""a multiyear, multibillion dollar investment"" in OpenAI, extending its existing partnership with ChatGPT creator.Microsoft Officially Extends Its Partnership With OpenAIMatt Milano",https://www.webpronews.com/microsoft-officially-extends-its-partnership-with-openai/,en,us,2023-01-23T23:49:50+00:00
,MICROSOFT CEO SAYS OVER 200 CUSTOMERS ARE USING AZURE OPENAI SER&#8230;,(marketscreener.com) MICROSOFT CEO SAYS OVER 200 CUSTOMERS ARE USING AZURE OPENAI SERVICE - CONF CALL https://www.marketscreener.com/quote/stock/MICROSOFT-CORPORATION-4835/news/MICROSOFT-CEO-SAYS-OVER-200-CUSTOMERS-ARE-USING-AZURE-OPENAI-SER-8230-42803773/?utm_medium=RSS&utm_content=20230124,https://www.marketscreener.com/quote/stock/MICROSOFT-CORPORATION-4835/news/MICROSOFT-CEO-SAYS-OVER-200-CUSTOMERS-ARE-USING-AZURE-OPENAI-SER-8230-42803773/?utm_medium=RSS&utm_content=20230124,en,us,2023-01-24T22:37:51+00:00
Blathnaid O’Dea,Shutterstock is offering an AI text-to-image generator to customers,The news comes several months after Shutterstock said it planned to incorporate OpenAI's text-to-image generator DALL-E 2 into its platform.Read more: Shutterstock is offering an AI text-to-image generator to customers,https://www.siliconrepublic.com/business/shutterstock-ai-text-to-image-generator,en,us,2023-01-25T17:01:19+00:00
,"AI-Powered ChatGPT Does 'Amazing Job,' Passes Wharton Business School Exam in Study Trials","ChatGPT, a new language AI chatbot developed by artificial intelligence (AI) research company OpenAI and released at the end of 2022, albeit still in its infancy, can be used for natural language processing tasks, with experts split over its uncanny potential.",https://sputniknews.com/20230123/ai-powered-chatgpt-does-amazing-job-passes-wharton-business-school-exam-in-study-trials-1106611462.html,en,ru,2023-01-23T13:19:23+00:00
Associated Press,Microsoft planning to invest billions in controversial ChatGPT creator,OpenAI’s free writing tool ChatGPT launched on Nov. 30 and has brought public attention to the possibilities of new advances in AI.,https://nypost.com/2023/01/23/microsoft-planning-to-invest-billions-in-chatgpt-creator/,en,zm,2023-01-23T17:11:22+00:00
Nikola Momčilović,"Da li će AI ""obrisati"" neke poslove koje sada obavljaju ljudi? Evo šta bi moglo da se desi","Microsoft navodno planira investiciju od 10 milijardi dolara u OpenAI, startap koji je kreirao viralni četbot ChatGPT",https://www.telegraf.rs/hi-tech/info-tech/3620144-da-li-je-chatgpt-vesnik-drugacije-buducnosti,en,rs,2023-01-24T19:00:00+00:00
Sissi Cao,Microsoft’s ChatGPT Deal Means Bing and Office Could Get Smarter Faster,"Through new investment in OpenAI, Microsoft is looking to integrate ChatGPT with its popular consumer software.",https://observer.com/2023/01/microsoft-openai-deal-chatgpt-office-bing/,en,us,2023-01-25T20:24:23+00:00
Anugraha Sundaravelu,OpenAI paid Kenyan workers less than $2 an hour to make ChatGPT less toxic,They had to label traumatic content including child sexual abuse.,https://metro.co.uk/2023/01/19/openai-paid-kenyan-workers-less-than-2-an-hour-to-make-chatgpt-safe-18130720/,en,gb,2023-01-19T15:17:05+00:00
Reuters,Microsoft to invest more in OpenAI as tech race heats up,Microsoft to invest more in OpenAI as tech race heats up,https://www.investing.com/news/stock-market-news/microsoft-to-invest-more-in-openai-as-tech-race-heats-up-2985982,en,us,2023-01-23T14:30:49+00:00
Bloomberg,Microsoft invests $10 Billion in ChatGPT maker OpenAI,"ChatGPT has lit up the internet since its introduction in November, amassing more than a million users within days and touching off a fresh debate over the role of AI in the workplace.",https://www.sgvtribune.com/2023/01/23/microsoft-invests-10-billion-in-chatgpt-maker-openai/,en,us,2023-01-23T18:00:20+00:00
Fionna Agomuoh,ChatGPT: how to use the viral AI chatbot that’s taking the world by storm,The ChatGPT chatbot by OpenAI is now available for testing as a free research preview.,https://www.digitaltrends.com/computing/how-to-use-openai-chatgpt-text-generation-chatbot/,en,us,2023-01-29T22:00:26+00:00
,"Baidu Developing Its Own ChatGPT, Aiming to Integrate It Into Search","China’s Baidu is developing an AI-powered chatbot similar to OpenAI’s popular ChatGPT and plans to integrate it into its main search engine in March, people familiar with the matter said.",https://finance.yahoo.com/m/6a8079c4-1328-323f-9b9d-9581ce6493f4/baidu-developing-its-own.html?.tsrc=rss,en,cn,2023-01-30T11:56:00+00:00
Nikola Momčilović,"OpenAI navodno angažuje ""vojsku"" programera da obuče veštačku inteligenciju koja će zameniti početnike","OpenAI je angažovao otprilike 1.000 programera — od kojih većina živi ""u regionima poput Latinske Amerike i istočne Evrope""",https://www.telegraf.rs/hi-tech/info-tech/3623919-da-li-ce-ai-zameniti-programere,en,rs,2023-02-01T11:30:00+00:00
,My Quarrel With OpenAI’s ChatGPT: Some Early Notes Educationists Should Pay Attention To – Essay,"Last week, I wanted to find out from OpenAI&#8217;s ChatGPT, the chatbot that writes papers for human beings, what it thinks of the process of writing, human creativity, and also plagiarism. I generated a series of questions and the following are the responses from the machine. I think this is an important conversation to have and to pay attention to with regards to an emerging issue in human cognition and the writing process. ******Azly Rahman: Are you happy encouraging students to plagiarize their writing assignments, Chatgpt? Chatgpt: No, I am not programmed to encourage unethical behavior...",https://api.follow.it/track-rss-story-click/v3/Qw9d99ManWe5I0CRsWdk97DXWBZfdr71,en,us,2023-01-30T00:38:27+00:00
Associated Press,Cheaters beware: ChatGPT maker releases AI detection tool,The new AI Text Classifier launched Tuesday by OpenAI follows a weeks-long discussion at schools and colleges over fears that ChatGPT’s ability to write just about anything on command could fuel academic dishonesty and hinder learning.,https://nypost.com/2023/02/01/cheaters-beware-chatgpt-maker-releases-ai-detection-tool/,en,zm,2023-02-01T17:05:19+00:00
Kyle Barr,The Year Ahead in Generative AI,"At this very moment, I could boot up OpenAI’s popular ChatGPT and ask it to write this article for me. Or I could ask it to “write a lullaby about a cool goose who just wants to honk.” I could pull up Midjourney, Stable Diffusion, DALL-E 2, or any number of AI art generators and order it to craft me an portrait of…Read more...",https://gizmodo.com/ai-chatgpt-dalle-midjourney-stable-diffusion-deepfake-1849910573,en,us,2023-01-26T14:30:00+00:00
,ChatGPT maker OpenAI has a free tool that can spot AI-written text,"OpenAI's offers a free but ""imperfect"" tool to detect AI-generated text, and hopes it sparks a debate about AI literacy.",https://www.zdnet.com/article/chatgpt-maker-openai-has-a-free-tool-that-can-spot-ai-written-text/#ftag=RSSbaffb68,en,us,2023-02-01T15:23:01+00:00
Reuters,"BuzzFeed soars on reports of plans to use ChatGPT’s OpenAI, Meta deal","Shares of BuzzFeed Inc extended gains to more than double in value on Thursday on reports the digital media firm was planning to use artificial intelligence to personalize and enhance its online quizzes and content. &#8220;In 2023, you&#8217;ll see AI inspired content move from an R&D stage to part of our core business, enhancing the [&#8230;]",https://nationalpost.com/pmn/technology-pmn/buzzfeed-soars-on-reports-of-plans-to-use-chatgpts-openai-meta-deal,en,us,2023-01-26T19:36:46+00:00
D-e_v@IS,BuzzFeed Stock Increases 150% as it Plans to Use AI to Create Content,"Shares of BuzzFeed rose significantly after CEO Jonah Peretti announced the business would employ the ChatGPT and DALL-E maker OpenAI&#8217;s application programming interface to tailor quizzes for users. The closing price for BZFD shares was $2.09, with after-hours trading driving the price higher. The stock had previously closed at $0.95. In a statement to the [&#8230;]The post BuzzFeed Stock Increases 150% as it Plans to Use AI to Create Content appeared first on Insights Success.",https://insightssuccess.com/buzzfeed-stock-increases-150-as-it-plans-to-use-ai-to-create-content/,en,us,2023-01-27T09:58:24+00:00
