author,title,description,url,language,country,published_at
Charlotte Krol,Nick Cave calls ChatGPT and AI songwriting “a grotesque mockery of what it is to be human”,The Bad Seeds singer isn't impressed with the AI chatbot serviceThe post Nick Cave calls ChatGPT and AI songwriting &#8220;a grotesque mockery of what it is to be human” appeared first on NME.,https://www.nme.com/news/music/nick-cave-calls-chatgpt-and-ai-songwriting-a-grotesque-mockery-of-what-it-is-to-be-human-3381620?utm_source=rss&utm_medium=rss&utm_campaign=nick-cave-calls-chatgpt-and-ai-songwriting-a-grotesque-mockery-of-what-it-is-to-be-human,en,us,2023-01-16T21:44:17+00:00
Jino Nicolas,Microsoft to expand ChatGPT access as OpenAI investment rumors swirl,"Microsoft Corp. on Monday said it is widening access to hugely popular software from OpenAI, a startup it is backing whose futuristic ChatGPT chatbot has captivated Silicon Valley. Microsoft said the startup&#8217;s tech, which it so far has previewed to its cloud-computing customers in a program it called the Azure OpenAI Service, was now generally available, [&#8230;]",https://www.bworldonline.com/technology/2023/01/17/498874/microsoft-to-expand-chatgpt-access-as-openai-investment-rumors-swirl/,en,us,2023-01-17T02:30:27+00:00
,Microsoft to add OpenAI's bot ChatGPT in Azure cloud services soon,"The service gives Microsoft's cloud customers access to various OpenAI tools like the GPT-3.5 language system that ChatGPT is based on, as well as the Dall-E model for generating images from text",https://www.business-standard.com/article/technology/microsoft-to-add-openai-s-bot-chatgpt-to-azure-cloud-services-soon-123011700182_1.html,en,us,2023-01-17T04:40:54+00:00
Bloomberg,Microsoft adding ChatGPT to Azure cloud service,"Microsoft said it will add OpenAI’s viral artificial intelligence bot ChatGPT to its cloud-based Azure service “soon,” building on an existing relationship between the two companies as Microsoft mulls taking a far larger stake in OpenAI.",https://mybroadband.co.za/news/cloud-hosting/476603-microsoft-adding-chatgpt-to-azure-cloud-service.html,en,za,2023-01-17T04:57:07+00:00
Mariella Moon,Microsoft will add ChatGPT to its cloud-based Azure OpenAI service 'soon',"Microsoft is giving more people — or at least more customers — access to OpenAI's technologies, including ChatGPT. The tech giant has announced that it's now making the Azure OpenAI Service generally available after giving a limited number of enterprise customers access to it when it debuted in November 2021. As Bloomberg notes, customers who have access to the service can use various OpenAI tools for their own cloud applications, including the Dall-E AI art generator and the GPT-3.5 language system. Microsoft says it's also adding access to ChatGPT, which it describes as a ""fine-tuned...",https://www.engadget.com/microsoft-add-chat-gpt-azure-openai-062845310.html?src=rss,en,us,2023-01-17T06:28:45+00:00
Reuters,Davos 2023: CEOs buzz about ChatGPT-style AI at World Economic Forum,"DAVOS &#8212; Business titans trudging through Alpine snow can&#8217;t stop talking about a chatbot from San Francisco. Generative artificial intelligence, tech that can invent virtually any content someone can think up and type into a text box, is garnering not just venture investment in Silicon Valley but interest in Davos at the World Economic Forum&#8217;s [&#8230;]",https://financialpost.com/pmn/business-pmn/davos-2023-ceos-buzz-about-chatgpt-style-ai-at-world-economic-forum-2,en,us,2023-01-17T08:33:07+00:00
Reuters,Davos 2023: CEOs buzz about ChatGPT-style AI at World Economic Forum,"Business titans trudging through Alpine snow can&#39;t stop talking about a chatbot from San Francisco.Generative artificial intelligence, tech that can invent virtually any content someone can think up and type into a text box, is garnering not just venture investment in Silicon Valley but interest in Davos at the World Economic Forum&#39;s annual meeting this week.Defining the category is ChatGPT, a chatbot that the startup called OpenAI released in November. The tech works by learning from vast amounts of data how to answer any prompt by a user in a human-like way, offering information like...",https://www.emirates247.com/business/technology/davos-2023-ceos-buzz-about-chatgpt-style-ai-at-world-economic-forum-2023-01-17-1.698302,en,us,2023-01-17T08:41:53+00:00
zee business,Microsoft to soon add ChatGPT to Azure OpenAI service: What is this and other details,Microsoft OpenAI Service: Microsoft CEO and Chairman Satya Nadella also shared the information on his Twitter handle. ,https://www.zeebiz.com/technology/news-microsoft-openai-service-artificial-intelligence-bot-chatgpt-azure-soon-217668,en,us,2023-01-17T11:25:53+00:00
,Google: Microsoft And ChatGPT Want To Disrupt Google Cloud,Google: Microsoft And ChatGPT Want To Disrupt Google Cloud,https://seekingalpha.com/article/4570346-google-microsoft-and-chatgpt-want-to-disrupt-google-cloud?source=feed_all_articles,en,us,2023-01-17T14:39:34+00:00
Mack DeGeurin,"Microsoft Is Expanding Access to Its Azure OpenAI Service, With ChatGPT Available 'Soon'","Generative artificial intelligence’s path toward real-world usefulness just became a bit more clear. On Monday, Microsoft announced it’s widening access to its Azure OpenAI Service, a move likely to increase business uses of Open AI’s popular GPT-3.5, Codex, and DALL E 2 systems. ChatGPT, the impressive chatbot that…Read more...",https://gizmodo.com/microsoft-openai-chatgpt-ai-1849995341,en,us,2023-01-17T16:20:00+00:00
Dan Girolamo,The best movies to watch if you like (or are afraid of) ChatGPT,"ChatGPT is the newest obsession in the world of artificial intelligence. If you like this new chatbot, then check out these 6 films to watch.",https://www.digitaltrends.com/movies/6-movies-to-watch-like-chatgpt-artificial-intelligence/,en,us,2023-01-18T00:01:11+00:00
Matt Milano,Satya Nadella: ‘ChatGPT Coming Soon to Azure OpenAI Service’,"WebProNewsSatya Nadella: &#8216;ChatGPT Coming Soon to Azure OpenAI Service&#8217;Microsoft is working to bring ChatGPT to its Azure OpenAI service, according to a tweet by CEO Satya Nadella.Satya Nadella: &#8216;ChatGPT Coming Soon to Azure OpenAI Service&#8217;Matt Milano",https://www.webpronews.com/satya-nadella-chatgpt-coming-soon-to-azure-openai-service/,en,us,2023-01-18T02:11:38+00:00
Swagatalakshmi Roychowdhury,"Microsoft To Add OpenAI, ChatGPT Features In All Products","Microsoft CEO Satya Nadella revealed that the company is planning to incorporate artificial intelligence products from ChatGPT and Dall-E 2 maker OpenAI in all of its products. In a panel interview with the Wall Street Journal at the World Economic Forum yesterday, Nadella said: &#8220;We will incorporate this in our own applications, so you can... Read More",https://www.channelnews.com.au/microsoft-to-add-openai-chatgpt-features-in-all-products/,en,au,2023-01-18T03:47:10+00:00
Anthony Cuthbertson,ChatGPT: World’s most powerful AI chatbot will soon ‘look like a boring toy’ says OpenAI boss,Sam Altman says ChatGPT will get ‘a lot better... fast’,https://www.independent.co.uk/tech/chatgpt-openai-agi-ai-chat-b2252002.html,en,gb,2022-12-27T16:24:08+00:00
Brian Wang,Will AI and Space Breakthroughs Continue in 2023,The biggest developments in AI were the Openao Dall-e 2 and ChatGPT. OpenAI said Dall-E 2 was generating over 2 million images a day. People are using ChatGPT to write stories and articles and then having Dall-E 2 create the pictures for the ChatGPT article or story. Space SpaceX had 61 launches in 2022 up ... Read more,https://www.nextbigfuture.com/2022/12/will-ai-and-space-breakthroughs-continue-in-2023.html,en,us,2022-12-30T08:36:47+00:00
Paul Barker,Info-Tech session for IT execs goes ‘behind the hype’ of ChatGPT,"Now that OpenAI’s ChatGPT is in the public domain, the big discussion point being pondered revolves around what impact it will have on society as a whole, and in the enterprise. When it comes to the latter, London, Ont.-based Info-Tech Research Group describes the release as a “watershed moment in the history of generative AI,",https://www.itworldcanada.com/article/info-tech-session-for-it-execs-goes-behind-the-hype-of-chatgpt/519741,en,us,2022-12-28T19:37:34+00:00
"Lance Eliot, Contributor","People Using Generative AI ChatGPT Are Instinctively Making This AI Rookie Mistake, A Vexing Recipe For AI Ethics And AI Law","People are both overshooting and undershooting when it comes to using generative AI and ChatGPT. We take a close look at this issue, along with going into a conversation about making a fine dining recipe via the likes of ChatGPT.",https://www.forbes.com/sites/lanceeliot/2023/01/05/people-using-generative-ai-chatgpt-are-instinctively-making-this-ai-rookie-mistake-a-vexing-recipe-for-ai-ethics-and-ai-law/,en,us,2023-01-05T13:00:18+00:00
Rob Lenihan,Microsoft Reportedly Plans New Version of Bing with ChatGPT Tech,Microsoft's search engine will reportedly use the artificial intelligence behind ChatGPT.,https://www.thestreet.com/technology/microsoft-reportedly-to-launch-new-version-of-bing-with-chatgpt-tech,en,us,2023-01-04T23:24:31+00:00
,"Microsoft: Bing And ChatGPT Might Work Together, This Could Be Revolutionary","Microsoft: Bing And ChatGPT Might Work Together, This Could Be Revolutionary",https://seekingalpha.com/article/4567950-microsoft-bing-chatgpt-might-work-together-revolutionary?source=feed_all_articles,en,us,2023-01-05T07:33:34+00:00
Ivan Mehta,Apple launches AI-powered book narrations,"At a time when there is a lot of debate going on around ChatGPT and generative AI potentially eating up jobs, Apple has launched AI-powered audio narration for select titles on Apple Books. On its website for authors, the company says that this feature will help independent authors who might not be able to convert [&#8230;]Apple launches AI-powered book narrations by Ivan Mehta originally published on TechCrunch",https://techcrunch.com/2023/01/05/apple-launches-ai-powered-book-narrations/,en,us,2023-01-05T11:57:44+00:00
Alex Blake,How ChatGPT could help Microsoft dethrone Google Search,"Microsoft has a secret plan to steal Google’s search crown, and it involves incorporating the ChatGPT AI into its Bing search engine. But will it work?",https://www.digitaltrends.com/computing/microsoft-bing-chatgpt-google-search-engine/,en,us,2023-01-04T21:28:19+00:00
Janus Rose,A CompSci Student Built an App That Can Detect ChatGPT-Generated Text,"“Human writing can be so beautiful. There is beauty in the human prose that computers can never and should never co-opt.""",https://www.vice.com/en_us/article/3admg8/a-compsci-student-built-an-app-that-can-detect-chatgpt-generated-text,en,us,2023-01-06T14:00:00+00:00
The Associated Press,EXPLAINER: What is ChatGPT and why are schools blocking it?,Ask the new artificial intelligence tool ChatGPT to write an essay about the cause of the American Civil War and you can watch it churn out a persuasive term paper in a matter of seconds. That&#8217;s one reason why New York City school officials this week started blocking the impressive but controversial writing tool that [&#8230;],https://financialpost.com/pmn/business-pmn/explainer-what-is-chatgpt-and-why-are-schools-blocking-it,en,us,2023-01-06T19:36:02+00:00
The Associated Press,EXPLAINER: What is ChatGPT and why are schools blocking it?,Ask the new artificial intelligence tool ChatGPT to write an essay about the cause of the American Civil War and you can watch it churn out a persuasive term paper in a matter of seconds. That&#8217;s one reason why New York City school officials this week started blocking the impressive but controversial writing tool that [&#8230;],https://nationalpost.com/pmn/life-pmn/explainer-what-is-chatgpt-and-why-are-schools-blocking-it,en,us,2023-01-06T19:36:12+00:00
Gareth Branwyn,"AD&D adventure, complete with fantasy artwork, made with AI tools","This is pretty next level stuff. The AI Wizard created a very convincing D&D adventure using ChatGPT. He then used the information from the adventure to generate art for it in Stable Diffusion. Will this chat type of AI be a game-changer as a DM's tool, for both creating adventures and creating encounters on the fly?",https://boingboing.net/2023/01/08/add-adventure-complete-with-fantasy-artwork-made-with-ai-tools.html,en,us,2023-01-08T16:17:51+00:00
"Matt O'Brien, The Associated Press",Schools declare war against a new tech tool that students can use to cheat,New York City's school district has restricted the ChatGPT website on school devices and networks.,https://fortune.com/2023/01/06/schools-chatgpt-ai-student-cheating-ban/,en,us,2023-01-07T00:41:47+00:00
K V Kurmanath,Internet sensation ChatGPT attracts the dark side of tech,The AI chatbot that has wowed the world with its smartness is falling prey to hackers,https://www.thehindubusinessline.com/info-tech/internet-sensation-chatgpt-attracts-the-dark-side-of-tech/article66353627.ece,en,us,2023-01-08T14:09:21+00:00
Kyle Wiggers,"ChatGPT goes pro, layoffs at Alphabet, and Dungeons & Dragons flirts with restrictive new licensing","Welcome, welcome, folks, to Week in Review, TechCrunch&#8217;s regular column that recaps the last week in news. If you&#8217;d like it in your inbox every Saturday, sign up here. Hope you&#8217;re sitting comfortably with a warm beverage on this wintery Saturday afternoon. Expecting Greg&#8217;s byline? Not to worry &#8212; he&#8217;s still enjoying parental leave, as [&#8230;]ChatGPT goes pro, layoffs at Alphabet, and Dungeons & Dragons flirts with restrictive new licensing by Kyle Wiggers originally published on TechCrunch",https://techcrunch.com/2023/01/14/chatgpt-goes-pro-layoffs-at-alphabet-and-dungeons-dragons-flirts-with-restrictive-new-licensing/,en,us,2023-01-14T21:15:35+00:00
Sajid Salamat,"AI, do my homework! How ChatGPT pitted teachers against tech","Know-it-all chatbots landed with a bang last year, convincing one engineer that machines had become sentient, spreading panic that industries could be wiped out, and creating fear of a cheating epidemic in schools and universities. Alarm among educators has reached fever pitch in recent weeks over ChatGPT, an easy-to-use artificial intelligence tool trained on billions [&#8230;]",https://dailytimes.com.pk/1051886/ai-do-my-homework-how-chatgpt-pitted-teachers-against-tech/,en,pk,2023-01-16T00:18:51+00:00
Web Desk,OpenAI casts spell on Microsoft,"PARIS: OpenAI, the Microsoft-backed developer of ChatGPT, the much-hyped chatbot that can write a poem, college essay, or even a line of software code, is the hottest startup in Silicon Valley right now. Microsoft is said to be in talks to increase its initial investment from $1 billion to $10 billion in order to compete [...]The post OpenAI casts spell on Microsoft appeared first on PKKH.tv.",https://www.pakistankakhudahafiz.com/openai-casts-spell-on-microsoft/,en,us,2023-01-16T05:17:11+00:00
Kalley Huang,"Alarmed by A.I. Chatbots, Universities Start Revamping How They Teach","With the rise of the popular new chatbot ChatGPT, colleges are restructuring some courses and taking preventive measures.",https://www.nytimes.com/2023/01/16/technology/chatgpt-artificial-intelligence-universities.html,en,us,2023-01-16T10:00:25+00:00
Ivan Mehta,App Store and Play Store are flooded with dubious ChatGPT apps,ChatGPT is the hottest topic of discussion in the tech industry. OpenAI&#8217;s chatbot that answers questions in natural language has attracted interest from users and developers. Some developers are trying to take advantage of the trend by making dubious apps — both on the App Store and the Play Store — that aim to make [&#8230;]App Store and Play Store are flooded with dubious ChatGPT apps by Ivan Mehta originally published on TechCrunch,https://techcrunch.com/2023/01/10/app-store-and-play-store-are-flooded-with-dubious-chatgpt-apps/,en,us,2023-01-10T10:09:18+00:00
Reuters,Microsoft in talks to invest $10 bln in ChatGPT-owner OpenAI – Semafor,"Microsoft Corp is in talks to invest $10 billion in ChatGPT-owner OpenAI as part of funding that will value the firm at $29 billion, Semafor reported on Monday, citing people familiar with the matter. The news underscores rising interest in the artificial intelligence company, whose chatbot has dazzled amateurs and industry experts with its ability [&#8230;]",https://financialpost.com/pmn/business-pmn/microsoft-in-talks-to-invest-10-bln-in-chatgpt-owner-openai-semafor,en,us,2023-01-10T13:53:09+00:00
Lauren Leffer,ChatGPT Writes Well Enough to Fool Scientific Reviewers,"The internet’s new favorite toy, ChatGPT, accomplishes some things better than others. The machine learning-trained chatbot from OpenAI can string together sentences and paragraphs that flow smoothly on just about any topic you prompt it with. But it cannot reliably tell the truth. It can act as a believable substituteRead more...",https://gizmodo.com/chatgpt-writes-well-enough-to-fool-scientific-reviewers-1849970458,en,us,2023-01-10T20:40:00+00:00
,Microsoft reportedly plans to invest $10 billion in creator of buzzy A.I. tool ChatGPT,"A bet on ChatGPT could help Microsoft boost its efforts in web search, a market dominated by Google.",https://www.cnbc.com/2023/01/10/microsoft-to-invest-10-billion-in-chatgpt-creator-openai-report-says.html,en,us,2023-01-10T23:44:02+00:00
Bret Kenwell,Buy or Sell Microsoft as It Eyes Stake in ChatGPT Owner OpenAI?,"There are some positives, but the short-term trend for Microsoft stock is a bit concerning. Let's look at the chart.",https://www.thestreet.com/investing/stocks/buy-or-sell-microsoft-msft-stock-as-it-eyes-stake-in-chatgpt-owner-openai,en,us,2023-01-11T17:39:44+00:00
Carly Page,Is ChatGPT a cybersecurity threat?,"Since its debut in November, ChatGPT has become the internet’s new favorite plaything. The AI-driven natural language processing tool rapidly amassed more than one million users, who have used the web-based chatbot for everything from generating wedding speeches and hip-hop lyrics to crafting academic essays and writing computer code. Not only have ChatGPT’s human-like abilities [&#8230;]Is ChatGPT a cybersecurity threat? by Carly Page originally published on TechCrunch",https://techcrunch.com/2023/01/11/chatgpt-cybersecurity-threat/,en,us,2023-01-11T20:30:18+00:00
Fionna Agomuoh,"Microsoft might put ChatGPT into Outlook, Word, and PowerPoint",There is word that Microsoft is in collaboration with OpenAI to use its GPT model to bring AI text generation to its Office suite.,https://www.digitaltrends.com/computing/microsoft-might-put-chatgpt-ai-into-outlook-word-powerpoint/,en,us,2023-01-09T19:18:36+00:00
Linda Hora,Opinion: ChatGPT will not change what we teach to writers,"The process of writing allows us to think, feel, dream, inspire. This is something AI will never learn. ",https://www.mercurynews.com/2023/01/10/opinion-chatgpt-will-not-change-what-we-teach-to-writers/,en,us,2023-01-10T13:00:25+00:00
Todd Bishop,Microsoft looks to tighten ties with OpenAI through potential $10B investment and new integrations,"A potential $10 billion investment by Microsoft in OpenAI would strengthen the tech giant&#8217;s partnership with the ChatGPT maker as it eyes new integrations that leverage breakthroughs from the AI powerhouse. The possible deal, currently the subject of negotiations between the companies, would value OpenAI at $29 billion, with the possibility of Microsoft receiving 75% of OpenAI&#8217;s profits until it recoups its investment, according to a report Monday by Semafor, citing unnamed sources. Microsoft, which previously invested $1 billion in OpenAI in 2019, would end up with a 49% stake in...",https://www.geekwire.com/2023/microsoft-looks-to-tighten-ties-with-openai-through-potential-10b-investment-and-new-integrations/,en,us,2023-01-10T15:22:02+00:00
,How big a threat is ChatGPT to Google? Morgan Stanley breaks it down,"The latest artificial intelligence trend taking the industry by storm could spell trouble for Google&#039;s profitability near term, according to Morgan Stanley.",https://www.cnbc.com/2023/01/10/how-big-a-threat-is-chatgpt-to-google-morgan-stanley-breaks-it-down.html,en,us,2023-01-10T17:01:00+00:00
